Website Name,Error,Number of Errors
laprima,2.4.3 Focus Order,1
laprima,4.1.3 Status Messages,1
laprima,3.3.2 Labels or Instructions,1
laprima,Additional Elements 04,1
laprima,JavaScript 05,1
laprima,REG_NO_PROMPT,1
