Website Name,Error,Number of Errors
darksucks,Additional Elements 03,1
darksucks,Additional Elements 04,1
darksucks,JavaScript 05,1
darksucks,REG_NO_PROMPT,1
darksucks,1.3.1 Info and Relationships,1
darksucks,1.3.3 Sensory Characteristics,1
darksucks,3.3.2 Labels or Instructions,1
darksucks,4.1.3 Status Messages,1
