Website Name,Error,Number of Errors
shopvirtueandvice,1.3.1 Info and Relationships,1
shopvirtueandvice,1.3.3 Sensory Characteristics,1
shopvirtueandvice,2.4.3 Focus Order,1
shopvirtueandvice,4.1.3 Status Messages,1
shopvirtueandvice,3.3.2 Labels or Instructions,1
shopvirtueandvice,4.1.2 Name,1
shopvirtueandvice,JavaScript 05,1
shopvirtueandvice,REG_NO_PROMPT,1
