Website Name,Error,Number of Errors
photofast,4.1.3 Status Messages,1
photofast,3.3.4 Redundant Entry,1
photofast,3.2.2 On Input,1
photofast,JavaScript 05,1
photofast,REG_FILLED_WRONG_FIELD,1
photofast,REG_NO_PROMPT,1
