Website Name,Error,Number of Errors
bardcoffee,Additional Elements 04,1
bardcoffee,JavaScript 05,1
bardcoffee,REG_NO_PROMPT,1
bardcoffee,1.3.3 Sensory Characteristics,1
bardcoffee,3.3.2 Labels or Instructions,1
