Website Name,Error,Number of Errors
romancewasborn,1.3.2 Meaningful Sequence,1
romancewasborn,Additional Elements 04,1
romancewasborn,JavaScript 05,1
romancewasborn,REG_NO_PROMPT,1
romancewasborn,1.3.3 Sensory Characteristics,1
romancewasborn,4.1.3 Status Messages,1
romancewasborn,3.3.2 Labels or Instructions,1
