Website Name,Error,Number of Errors
celebrityauthentics,1.3.1 Info and Relationships,1
celebrityauthentics,2.1.1 Keyboard,1
celebrityauthentics,2.1.2 No Keyboard Trap,1
celebrityauthentics,3.2.2 On Input,1
celebrityauthentics,3.3.2 Labels or Instructions,1
celebrityauthentics,Additional Elements 01,1
celebrityauthentics,Additional Elements 04,1
celebrityauthentics,REG_NO_PROMPT,1
