Website Name,Error,Number of Errors
linkedin,2.4.3 Focus Order,1
linkedin,1.3.5 Identify Input Purpose,1
linkedin,Additional Elements 02,1
linkedin,Additional Elements (Non-Auth) 02,1
linkedin,Input Fields 04,1
